,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,remotework
0,52,No,non-travel,2015.7,desconocido,6,3,desconocido,1,1,1,True,252.0,3,5,research director,3,desconocido,16280.83,42330.17,7,No,13,3.0,3,full time,0,,5,3.0,20,15,15,16280.83,1972,195370.0,desconocido,True
1,53,No,non-travel,2063.4,desconocido,1,4,life sciences,1,2,3,True,257.9,2,5,manager,3,desconocido,,43331.17,0,Desconocido,14,3.0,1,full time,1,34.0,5,3.0,33,11,9,,1971,199990.0,desconocido,False
2,43,No,travel_rarely,1984.3,research & development,4,2,technical degree,1,3,3,True,248.0,3,5,manager,4,married,,41669.33,1,No,11,3.0,4,full time,0,22.0,3,,22,11,15,,1981,192320.0,manager  -  research & development,False
3,48,No,travel_rarely,1771.4,desconocido,2,4,medical,1,4,1,False,221.4,3,4,research director,3,married,14307.5,37199.5,3,Desconocido,19,3.0,2,full time,2,,2,,20,5,6,14307.5,1976,171690.0,desconocido,False
4,47,No,non-travel,1582.8,desconocido,3,3,technical degree,1,5,1,False,197.8,4,4,sales executive,1,divorced,12783.92,33238.2,2,No,12,3.0,4,full time,1,,5,3.0,19,2,8,12783.92,1977,,desconocido,True
5,49,No,non-travel,1771.9,research & development,22,3,medical,1,6,4,False,221.5,3,4,manager,4,desconocido,14311.67,37210.33,3,No,11,3.0,2,full time,1,,3,3.0,22,4,7,14311.67,1975,,manager  -  research & development,True
6,60,No,non-travel,1032.5,desconocido,25,3,life sciences,1,7,1,False,129.1,3,3,sales executive,1,desconocido,8339.32,21682.23,7,Desconocido,11,3.0,4,part time,0,28.0,3,2.0,21,7,9,8339.32,1964,100071.84,desconocido,True
7,43,No,travel_rarely,556.3,desconocido,1,1,desconocido,1,8,2,True,69.5,3,2,sales executive,3,married,,11681.39,1,No,25,4.0,3,part time,0,20.0,3,3.0,20,11,6,,1981,53914.11,desconocido,True
8,42,No,non-travel,1712.2,desconocido,2,5,desconocido,1,9,2,False,214.0,3,4,manager,1,married,13829.17,35955.83,7,No,16,3.0,2,full time,1,22.0,2,3.0,18,11,8,13829.17,1982,165950.0,desconocido,True
9,42,No,travel_frequently,1974.0,desconocido,9,3,desconocido,1,10,1,True,246.7,3,5,research director,3,desconocido,15943.72,41453.67,2,No,17,3.0,2,full time,1,21.0,2,4.0,18,0,11,15943.72,1982,,desconocido,True
10,42,No,non-travel,2060.7,desconocido,7,1,desconocido,1,11,2,False,257.6,1,5,research director,3,desconocido,16644.17,43274.83,1,No,22,4.0,2,full time,2,,3,3.0,21,5,10,16644.17,1982,199730.0,desconocido,True
11,57,No,travel_rarely,1382.7,desconocido,23,3,life sciences,1,12,4,True,172.8,3,4,manufacturing director,2,married,,29037.67,4,Yes,12,,1,full time,1,33.0,0,3.0,19,15,9,,1967,134020.0,desconocido,False
12,39,No,non-travel,1362.5,desconocido,10,3,medical,1,13,2,False,170.3,1,3,research director,3,married,,28613.0,3,No,12,3.0,1,full time,1,,3,3.0,18,1,11,,1985,132060.0,desconocido,False
13,42,Yes,travel_rarely,2016.5,desconocido,12,3,desconocido,1,14,2,False,252.1,3,5,research director,3,married,,42347.5,1,No,12,3.0,4,full time,0,,0,3.0,22,15,8,,1982,195450.0,desconocido,False
14,56,No,non-travel,1974.0,desconocido,14,4,medical,1,15,3,True,246.7,4,5,research director,2,single,15943.72,41453.67,8,No,11,3.0,4,full time,0,,3,3.0,24,2,15,15943.72,1968,,desconocido,True
15,41,No,travel_rarely,1861.4,desconocido,2,4,desconocido,1,16,3,False,232.7,3,5,manager,3,desconocido,15034.17,39088.83,0,No,14,3.0,4,full time,0,,2,3.0,20,1,12,15034.17,1983,180410.0,desconocido,True
16,59,Yes,travel_rarely,1985.7,desconocido,2,4,desconocido,1,17,4,True,248.2,3,5,research director,2,single,16038.33,41699.67,7,Yes,12,3.0,4,full time,0,40.0,2,3.0,31,13,8,16038.33,1965,192460.0,desconocido,True
17,47,No,travel_rarely,1582.8,desconocido,2,3,desconocido,1,18,3,False,197.8,3,4,manager,1,desconocido,12783.92,33238.2,8,Desconocido,23,4.0,1,full time,0,28.0,2,3.0,26,15,9,12783.92,1977,,desconocido,False
18,36,No,non-travel,556.3,desconocido,13,5,life sciences,1,19,2,True,69.5,4,2,research scientist,1,married,4492.84,11681.39,1,Desconocido,11,3.0,4,full time,0,,2,3.0,16,1,10,4492.84,1988,,desconocido,False
19,41,No,travel_rarely,1032.5,desconocido,15,3,life sciences,1,20,1,False,129.1,2,3,manufacturing director,3,desconocido,8339.32,21682.23,1,Desconocido,13,3.0,4,full time,2,18.0,2,,18,14,12,8339.32,1983,,desconocido,True
20,46,No,non-travel,1108.9,research & development,1,1,desconocido,1,21,3,True,138.6,2,3,healthcare representative,3,desconocido,8956.67,23287.33,3,Desconocido,23,4.0,4,full time,1,25.0,3,2.0,23,14,4,8956.67,1978,107480.0,healthcare representative  -  research & development,False
21,34,No,non-travel,1032.5,desconocido,1,2,life sciences,1,22,1,False,129.1,3,3,research director,4,single,,21682.23,1,Yes,12,3.0,3,part time,0,15.0,1,3.0,15,8,12,,1990,100071.84,desconocido,True
22,37,No,non-travel,1032.5,desconocido,8,3,desconocido,1,23,3,False,129.1,3,3,healthcare representative,3,divorced,,21682.23,1,Desconocido,13,,2,full time,3,17.0,2,3.0,17,12,8,,1987,100071.84,desconocido,False
23,48,No,non-travel,1728.4,desconocido,2,2,other,1,24,3,False,216.0,3,4,manager,4,married,,36296.0,1,Desconocido,11,3.0,3,full time,1,,3,2.0,26,3,0,,1976,167520.0,desconocido,False
24,37,No,travel_rarely,639.8,desconocido,42,2,life sciences,1,25,4,True,80.0,3,2,sales executive,4,desconocido,5167.5,13435.5,1,Desconocido,14,3.0,4,full time,1,18.0,1,,18,4,11,5167.5,1987,62010.0,desconocido,True
25,36,No,non-travel,1032.5,desconocido,9,3,life sciences,1,26,4,False,129.1,2,3,manufacturing director,3,married,,21682.23,1,Yes,20,4.0,2,part time,1,17.0,2,3.0,17,5,15,,1988,100071.84,desconocido,False
26,53,Yes,non-travel,2047.5,desconocido,2,1,desconocido,1,27,1,False,255.9,1,5,manager,4,married,,42997.5,1,No,15,3.0,4,full time,1,33.0,3,3.0,32,6,9,,1971,198450.0,desconocido,False
27,37,No,non-travel,556.3,desconocido,2,4,life sciences,1,28,3,False,69.5,3,2,manufacturing director,2,single,4492.84,11681.39,9,Yes,11,3.0,4,full time,0,18.0,2,3.0,16,5,12,4492.84,1987,53914.11,desconocido,True
28,34,No,travel_rarely,556.3,desconocido,28,4,life sciences,1,29,2,True,69.5,3,2,laboratory technician,3,married,4492.84,11681.39,1,Desconocido,12,3.0,2,part time,1,15.0,3,3.0,15,5,7,4492.84,1990,53914.11,desconocido,True
29,35,No,non-travel,412.8,sales,10,3,life sciences,1,30,4,True,51.6,3,2,sales executive,3,desconocido,3334.17,8668.83,1,Yes,14,3.0,3,part time,1,15.0,3,3.0,15,0,7,3334.17,1989,40010.0,sales executive  -  sales,False
30,42,No,non-travel,1077.9,sales,37,1,desconocido,1,31,3,False,134.7,3,3,sales executive,3,divorced,8705.83,22635.17,0,Desconocido,13,3.0,4,full time,1,,3,4.0,22,13,5,8705.83,1982,104470.0,sales executive  -  sales,True
31,48,No,non-travel,1032.5,research & development,25,3,medical,1,32,1,True,129.1,3,3,healthcare representative,3,desconocido,8339.32,21682.23,2,Desconocido,23,4.0,2,full time,0,25.0,3,3.0,17,12,11,8339.32,1976,,healthcare representative  -  research & development,True
32,54,No,travel_rarely,1974.0,desconocido,5,3,desconocido,1,33,3,False,246.7,3,5,manager,3,desconocido,15943.72,41453.67,4,Desconocido,11,3.0,4,full time,1,26.0,3,2.0,14,4,8,15943.72,1970,191324.62,desconocido,True
33,36,No,non-travel,556.3,desconocido,1,4,marketing,1,34,3,True,69.5,2,2,sales executive,1,single,4492.84,11681.39,0,No,14,,2,part time,0,16.0,2,3.0,15,2,8,4492.84,1988,53914.11,desconocido,True
34,35,No,travel_rarely,556.3,desconocido,6,4,other,1,35,1,False,69.5,3,2,research scientist,3,single,4492.84,11681.39,1,Desconocido,14,3.0,3,full time,0,16.0,3,3.0,16,2,10,4492.84,1989,,desconocido,True
