,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
0,52,No,non-travel,2015.72,,6,3,,1,1,1,M,,3,5,research director,3,,16280.83,42330.17,7,No,13,3.0,3,full time,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,,,True
1,53,No,non-travel,2063.39,,1,4,life sciences,1,2,3,M,,2,5,manager,3,,,43331.17,0,,14,3.0,1,full time,1,34.0,5,3.0,33,,11,9,,1971,199990.0,,,False
2,43,No,travel_rarely,1984.25,research & development,4,2,technical degree,1,3,3,M,,3,5,manager,4,married,,41669.33,1,No,11,3.0,4,full time,0,22.0,3,,22,,11,15,,1981,192320.0,manager  -  research & development,,False
3,48,No,travel_rarely,1771.4,,2,4,medical,1,4,1,F,,3,4,research director,3,married,14307.5,37199.5,3,,19,3.0,2,full time,2,,2,,20,,5,6,14307.5,1976,171690.0,,,False
4,47,No,non-travel,1582.77,,3,3,technical degree,1,5,1,F,,4,4,sales executive,1,divorced,12783.92,33238.2,2,No,12,3.0,4,full time,1,,5,3.0,19,,2,8,12783.92,1977,,,,True
5,49,No,non-travel,1771.92,research & development,22,3,medical,1,6,4,F,,3,4,manager,4,,14311.67,37210.33,3,No,11,3.0,2,full time,1,,3,3.0,22,,4,7,14311.67,1975,,manager  -  research & development,,True
6,60,No,non-travel,1032.49,,25,3,life sciences,1,7,1,F,,3,3,sales executive,1,,8339.32,21682.23,7,,11,3.0,4,part time,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,,,True
7,43,No,travel_rarely,556.26,,1,1,,1,8,2,M,69.53208262471655,3,2,sales executive,3,married,,11681.39,1,No,25,4.0,3,part time,0,20.0,3,3.0,20,,11,6,,1981,53914.11,,,True
8,42,No,non-travel,1712.18,,2,5,,1,9,2,F,,3,4,manager,1,married,13829.17,35955.83,7,No,16,3.0,2,full time,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,,,True
9,42,No,travel_frequently,1973.98,,9,3,,1,10,1,M,,3,5,research director,3,,15943.72,41453.67,2,No,17,3.0,2,full time,1,21.0,2,4.0,18,,0,11,15943.72,1982,,,,True
10,42,No,non-travel,2060.71,,7,1,,1,11,2,F,,1,5,research director,3,,16644.17,43274.83,1,No,22,4.0,2,full time,2,,3,3.0,21,,5,10,16644.17,1982,199730.0,,,True
11,57,No,travel_rarely,1382.75,,23,3,life sciences,1,12,4,M,172.84325396825398,3,4,manufacturing director,2,married,,29037.67,4,Yes,12,,1,full time,1,33.0,0,3.0,19,,15,9,,1967,134020.0,,,False
12,39,No,non-travel,1362.52,,10,3,medical,1,13,2,F,,1,3,research director,3,married,,28613.0,3,No,12,3.0,1,full time,1,,3,3.0,18,,1,11,,1985,132060.0,,,False
13,42,Yes,travel_rarely,2016.55,,12,3,,1,14,2,F,,3,5,research director,3,married,,42347.5,1,No,12,3.0,4,full time,0,,0,3.0,22,,15,8,,1982,195450.0,,,False
14,56,No,non-travel,1973.98,,14,4,medical,1,15,3,M,,4,5,research director,2,single,15943.72,41453.67,8,No,11,3.0,4,full time,0,,3,3.0,24,,2,15,15943.72,1968,,,,True
15,41,No,travel_rarely,1861.37,,2,4,,1,16,3,F,,3,5,manager,3,,15034.17,39088.83,0,No,14,3.0,4,full time,0,,2,3.0,20,,1,12,15034.17,1983,180410.0,,,True
16,59,Yes,travel_rarely,1985.7,,2,4,,1,17,4,M,,3,5,research director,2,single,16038.33,41699.67,7,Yes,12,3.0,4,full time,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,,,True
17,47,No,travel_rarely,1582.77,,2,3,,1,18,3,F,,3,4,manager,1,,12783.92,33238.2,8,,23,4.0,1,full time,0,28.0,2,3.0,26,,15,9,12783.92,1977,,,,False
18,36,No,non-travel,556.26,,13,5,life sciences,1,19,2,M,,4,2,research scientist,1,married,4492.84,11681.39,1,,11,3.0,4,full time,0,,2,3.0,16,,1,10,4492.84,1988,,,,False
19,41,No,travel_rarely,1032.49,,15,3,life sciences,1,20,1,F,,2,3,manufacturing director,3,,8339.32,21682.23,1,,13,3.0,4,full time,2,18.0,2,,18,,14,12,8339.32,1983,,,,True
20,46,No,non-travel,1108.92,research & development,1,1,,1,21,3,M,,2,3,healthcare representative,3,,8956.67,23287.33,3,,23,4.0,4,full time,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0,healthcare representative  -  research & development,,False
21,34,No,non-travel,1032.49,,1,2,life sciences,1,22,1,F,,3,3,research director,4,single,,21682.23,1,Yes,12,3.0,3,part time,0,15.0,1,3.0,15,,8,12,,1990,100071.84,,,True
22,37,No,non-travel,1032.49,,8,3,,1,23,3,F,,3,3,healthcare representative,3,divorced,,21682.23,1,,13,,2,full time,3,17.0,2,3.0,17,,12,8,,1987,100071.84,,,False
23,48,No,non-travel,1728.38,,2,2,other,1,24,3,F,216.0476190476191,3,4,manager,4,married,,36296.0,1,,11,3.0,3,full time,1,,3,2.0,26,,3,0,,1976,167520.0,,,False
24,37,No,travel_rarely,639.79,,42,2,life sciences,1,25,4,M,79.97321428571429,3,2,sales executive,4,,5167.5,13435.5,1,,14,3.0,4,full time,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,,,True
25,36,No,non-travel,1032.49,,9,3,life sciences,1,26,4,F,129.06091077207583,2,3,manufacturing director,3,married,,21682.23,1,Yes,20,4.0,2,part time,1,17.0,2,3.0,17,,5,15,,1988,100071.84,,,False
26,53,Yes,non-travel,2047.5,,2,1,,1,27,1,F,,1,5,manager,4,married,,42997.5,1,No,15,3.0,4,full time,1,33.0,3,3.0,32,,6,9,,1971,198450.0,,,False
27,37,No,non-travel,556.26,,2,4,life sciences,1,28,3,F,,3,2,manufacturing director,2,single,4492.84,11681.39,9,Yes,11,3.0,4,full time,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,,,True
28,34,No,travel_rarely,556.26,,28,4,life sciences,1,29,2,M,69.53208262471655,3,2,laboratory technician,3,married,4492.84,11681.39,1,,12,3.0,2,part time,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,,,True
29,35,No,non-travel,412.8,sales,10,3,life sciences,1,30,4,M,,3,2,sales executive,3,,3334.17,8668.83,1,Yes,14,3.0,3,part time,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0,sales executive  -  sales,,False
30,42,No,non-travel,1077.87,sales,37,1,,1,31,3,F,,3,3,sales executive,3,divorced,8705.83,22635.17,0,,13,3.0,4,full time,1,,3,4.0,22,,13,5,8705.83,1982,104470.0,sales executive  -  sales,,True
31,48,No,non-travel,1032.49,research & development,25,3,medical,1,32,1,M,,3,3,healthcare representative,3,,8339.32,21682.23,2,,23,4.0,2,full time,0,25.0,3,3.0,17,,12,11,8339.32,1976,,healthcare representative  -  research & development,,True
32,54,No,travel_rarely,1973.98,,5,3,,1,33,3,F,246.74801587301585,3,5,manager,3,,15943.72,41453.67,4,,11,3.0,4,full time,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,,,True
33,36,No,non-travel,556.26,,1,4,marketing,1,34,3,M,69.53208262471655,2,2,sales executive,1,single,4492.84,11681.39,0,No,14,,2,part time,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,,,True
34,35,No,travel_rarely,556.26,,6,4,other,1,35,1,F,,3,2,research scientist,3,single,4492.84,11681.39,1,,14,3.0,3,full time,0,16.0,3,3.0,16,,2,10,4492.84,1989,,,,True
35,47,No,travel_rarely,1032.49,,1,2,,1,36,2,F,,3,3,sales executive,1,divorced,8339.32,21682.23,1,No,25,4.0,3,part time,3,24.0,2,3.0,24,,15,7,8339.32,1977,100071.84,,,True
36,44,No,non-travel,1657.4,,16,3,,1,37,4,F,207.1746031746032,3,4,manager,4,married,,34805.33,5,,22,4.0,3,full time,1,22.0,3,3.0,17,,1,9,,1980,160640.0,,,False
37,37,No,non-travel,331.19,research & development,6,3,life sciences,1,38,4,M,,3,1,laboratory technician,4,married,2675.0,6955.0,0,,11,3.0,3,full time,1,16.0,4,3.0,15,,10,11,2675.0,1987,32100.0,laboratory technician  -  research & development,,True
38,61,No,travel_frequently,1059.19,,28,3,,1,39,3,F,,2,3,sales executive,1,married,8555.0,22243.0,4,No,19,3.0,4,full time,0,22.0,5,4.0,18,13.0,13,11,8555.0,1963,102660.0,,,False
39,41,No,travel_frequently,1080.75,,5,4,,1,40,4,M,,2,3,sales executive,1,married,8729.17,22695.83,5,Yes,21,4.0,3,full time,1,20.0,2,3.0,18,,1,12,8729.17,1983,104750.0,,,True
40,33,No,travel_rarely,635.76,,4,3,,1,41,3,F,,2,2,manufacturing director,3,married,,13351.0,1,No,12,3.0,3,full time,1,14.0,3,3.0,14,,6,8,,1991,61620.0,,,True
41,42,No,travel_rarely,487.09,,35,3,,1,42,3,M,60.8859126984127,3,1,laboratory technician,1,single,3934.17,10228.83,2,Yes,13,,3,full time,0,20.0,3,3.0,18,,2,17,3934.17,1982,47210.0,,,False
42,54,No,non-travel,1582.77,,2,2,medical,1,43,3,M,,3,4,manager,3,divorced,12783.92,33238.2,6,No,13,3.0,3,full time,1,22.0,3,4.0,17,,15,2,12783.92,1970,153407.07,,,False
43,37,Yes,travel_rarely,290.04,,16,4,,1,44,3,F,36.25443871706758,4,1,laboratory technician,1,single,,6090.75,1,,16,3.0,3,part time,0,18.0,1,3.0,17,,15,14,,1987,28111.13,,,True
44,47,No,non-travel,476.15,,8,4,life sciences,1,45,4,F,,2,2,research scientist,1,divorced,3845.83,9999.17,8,Yes,23,4.0,1,part time,3,,2,3.0,16,,1,7,3845.83,1977,46150.0,,,True
45,39,No,travel_rarely,556.26,,1,4,,1,46,4,M,,3,2,sales executive,2,married,4492.84,11681.39,0,No,15,3.0,1,full time,2,16.0,3,,15,,5,8,4492.84,1985,53914.11,,,False
46,52,No,non-travel,1032.49,,1,4,,1,47,1,F,,2,3,healthcare representative,1,single,8339.32,21682.23,3,,20,4.0,3,part time,0,23.0,1,2.0,13,,12,8,8339.32,1972,100071.84,,,True
47,44,No,non-travel,1749.74,,26,2,,1,48,3,M,,3,4,manager,4,married,14132.5,36744.5,1,Yes,12,3.0,4,full time,2,25.0,3,4.0,25,,4,12,14132.5,1980,169590.0,,,False
48,38,No,non-travel,290.04,,1,3,life sciences,1,49,4,F,,3,1,research scientist,4,single,,6090.75,1,No,12,3.0,2,part time,0,,3,3.0,17,,5,7,,1986,28111.13,,,True
49,33,No,travel_rarely,556.26,,8,2,technical degree,1,50,3,F,,2,2,sales executive,2,married,,11681.39,1,Yes,11,3.0,4,part time,0,,2,3.0,13,12.0,11,9,,1991,53914.11,,,True
50,39,No,non-travel,1032.49,,1,3,,1,51,4,F,,3,3,research director,1,married,8339.32,21682.23,1,,13,3.0,2,part time,1,15.0,3,3.0,15,,5,11,8339.32,1985,100071.84,,,False
51,47,No,non-travel,1582.77,,3,3,life sciences,1,52,3,F,,3,4,manager,2,,12783.92,33238.2,8,No,12,3.0,4,full time,1,23.0,2,4.0,13,,5,1,12783.92,1977,153407.07,,,True
52,36,Yes,travel_rarely,1063.32,,10,3,medical,1,53,4,M,,2,3,sales executive,1,married,8588.33,22329.67,9,,17,3.0,3,full time,0,15.0,3,,13,,6,0,8588.33,1988,,,,True
53,44,No,non-travel,1973.98,,6,3,medical,1,54,1,F,,2,5,manager,3,married,15943.72,41453.67,7,No,13,3.0,4,full time,0,21.0,2,3.0,16,,6,14,15943.72,1980,,,,True
54,57,No,non-travel,556.26,,1,4,life sciences,1,55,3,M,,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,No,21,,1,full time,1,,2,2.0,13,,1,9,4492.84,1967,,,,True
55,37,No,non-travel,557.76,,15,4,marketing,1,56,4,M,,1,2,sales executive,4,divorced,4505.0,11713.0,1,No,24,4.0,1,full time,1,,4,2.0,15,,11,11,4505.0,1987,54060.0,,,False
56,39,No,non-travel,556.26,,6,3,medical,1,57,2,F,,1,2,research scientist,4,,,11681.39,7,,12,3.0,4,part time,3,17.0,3,3.0,13,,1,9,,1985,53914.11,,,True
57,50,No,non-travel,556.26,,26,4,medical,1,58,3,F,69.53208262471655,3,2,manufacturing director,1,,,11681.39,1,No,14,3.0,3,part time,0,16.0,2,2.0,15,,5,11,,1974,53914.11,,,True
58,40,No,travel_rarely,608.94,,4,4,life sciences,1,59,4,F,,2,2,sales executive,3,married,4918.33,12787.67,4,,14,3.0,3,full time,1,17.0,1,4.0,15,,5,9,4918.33,1984,59020.0,,,True
59,41,No,non-travel,1119.96,,4,4,,1,60,3,M,139.9950396825397,2,3,sales executive,4,married,,23519.17,7,No,11,,1,full time,1,15.0,2,2.0,12,,2,11,,1983,108550.0,,,True
60,37,No,non-travel,610.17,,5,2,,1,61,4,M,,3,2,laboratory technician,2,single,4928.33,12813.67,8,No,16,3.0,4,full time,0,16.0,3,4.0,13,,3,7,4928.33,1987,59140.0,,,False
61,38,No,non-travel,556.26,,25,5,,1,62,2,F,,3,2,research scientist,3,married,,11681.39,3,Yes,15,3.0,1,full time,2,15.0,2,3.0,13,,10,7,,1986,53914.11,,,True
62,36,No,non-travel,685.7,,6,4,,1,63,2,M,,1,2,research scientist,4,,5538.33,14399.67,1,,13,3.0,2,full time,0,,3,3.0,17,,11,8,5538.33,1988,66460.0,,,True
63,34,No,travel_frequently,556.26,,6,3,life sciences,1,64,3,M,,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,No,23,4.0,3,part time,1,15.0,2,1.0,13,,4,7,4492.84,1990,53914.11,,,False
64,51,No,travel_rarely,1441.66,research & development,24,3,,1,65,4,M,,3,4,manufacturing director,3,married,,30274.83,3,Yes,18,3.0,4,full time,1,22.0,2,3.0,12,,1,5,,1973,139730.0,manufacturing director  -  research & development,,False
65,49,No,travel_rarely,1032.49,,4,4,,1,66,3,M,,2,3,healthcare representative,3,single,,21682.23,7,,14,,2,part time,0,27.0,3,3.0,15,11.0,4,8,,1975,100071.84,,,True
66,45,No,travel_rarely,1374.29,sales,28,3,,1,67,4,F,,4,4,sales executive,4,married,11100.0,28860.0,3,,18,3.0,3,full time,1,,2,3.0,12,,11,11,11100.0,1979,,sales executive  -  sales,,False
67,45,No,travel_rarely,556.26,,29,4,,1,68,4,M,69.53208262471655,3,2,research scientist,4,single,,11681.39,1,,25,4.0,2,part time,0,,3,3.0,20,,13,17,,1979,53914.11,,,True
68,41,No,non-travel,556.26,,25,1,,1,69,2,F,,4,2,healthcare representative,3,,,11681.39,5,No,20,4.0,2,part time,3,15.0,0,3.0,12,,11,8,,1983,53914.11,,,True
69,35,No,travel_rarely,689.93,,2,4,,1,70,3,F,86.24107142857143,3,2,healthcare representative,4,single,5572.5,14488.5,1,,11,3.0,4,full time,0,14.0,2,4.0,14,,4,11,5572.5,1989,66870.0,,,True
70,36,No,non-travel,556.26,research & development,8,4,,1,71,3,F,,3,2,healthcare representative,3,,4492.84,11681.39,1,,12,3.0,4,part time,1,,5,3.0,14,,2,9,4492.84,1988,53914.11,healthcare representative  -  research & development,,True
71,51,No,non-travel,1032.49,,17,5,life sciences,1,72,4,F,,2,3,research director,1,,,21682.23,5,No,15,3.0,3,part time,3,,3,3.0,14,11.0,1,11,,1973,100071.84,,,True
72,50,No,non-travel,1582.77,,6,1,life sciences,1,73,3,F,197.8464183087028,2,4,healthcare representative,3,,12783.92,33238.2,2,,19,3.0,2,full time,1,,3,3.0,15,,2,12,12783.92,1974,153407.07,,,True
73,39,No,travel_frequently,488.53,,1,3,life sciences,1,74,4,M,61.06646825396825,3,2,research scientist,4,,,10259.17,7,No,15,3.0,4,part time,2,19.0,4,,13,,2,9,,1985,47350.0,,,True
74,34,No,non-travel,290.04,,21,3,,1,75,2,M,,4,1,laboratory technician,2,,,6090.75,1,No,18,3.0,4,part time,3,14.0,6,,14,,2,13,,1990,28111.13,,,True
75,48,No,travel_rarely,1032.49,,4,3,life sciences,1,76,3,F,,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,Yes,12,,3,part time,1,,4,3.0,22,,14,10,8339.32,1976,100071.84,,,True
76,39,No,non-travel,556.26,research & development,8,3,,1,77,4,F,,2,2,research scientist,2,divorced,4492.84,11681.39,1,,16,3.0,3,full time,1,20.0,3,3.0,20,,0,7,4492.84,1985,,research scientist  -  research & development,,True
77,38,No,travel_rarely,1032.49,,10,3,life sciences,1,78,3,F,,4,3,research director,4,,8339.32,21682.23,1,Yes,25,4.0,1,part time,1,16.0,2,3.0,16,,6,8,8339.32,1986,100071.84,,,True
78,31,No,non-travel,556.26,,2,3,,1,79,3,M,,2,2,healthcare representative,4,married,,11681.39,1,No,19,,1,part time,3,11.0,3,3.0,11,,10,8,,1993,53914.11,,,True
79,59,No,travel_rarely,1431.24,,18,4,,1,80,4,M,,3,4,sales executive,3,single,11560.0,30056.0,0,,13,3.0,3,full time,0,38.0,1,2.0,37,,1,8,11560.0,1965,138720.0,,,False
80,35,No,travel_rarely,1032.49,,5,3,,1,81,3,F,,2,3,manager,1,single,8339.32,21682.23,2,,12,3.0,4,full time,0,14.0,6,3.0,11,,5,8,8339.32,1989,,,,True
81,59,Yes,travel_rarely,1032.49,,23,4,medical,1,82,4,F,,3,3,healthcare representative,4,married,8339.32,21682.23,1,,12,3.0,4,part time,1,40.0,3,2.0,40,,15,6,8339.32,1965,100071.84,,,True
